"step","time","S","I","R"
684,684,17439,0,82571
685,685,17439,0,82571
686,686,17439,0,82571
687,687,17439,0,82571
688,688,17439,0,82571
689,689,17439,0,82571
690,690,17439,0,82571
691,691,17439,0,82571
692,692,17439,0,82571
693,693,17439,0,82571
694,694,17439,0,82571
695,695,17439,0,82571
696,696,17439,0,82571
697,697,17439,0,82571
698,698,17439,0,82571
699,699,17439,0,82571
700,700,17439,0,82571
701,701,17439,0,82571
702,702,17439,0,82571
703,703,17439,0,82571
704,704,17439,0,82571
705,705,17439,0,82571
706,706,17439,0,82571
707,707,17439,0,82571
708,708,17439,0,82571
709,709,17439,0,82571
710,710,17439,0,82571
711,711,17439,0,82571
712,712,17439,0,82571
713,713,17439,0,82571
714,714,17439,0,82571
715,715,17439,0,82571
716,716,17439,0,82571
717,717,17439,0,82571
718,718,17439,0,82571
719,719,17439,0,82571
720,720,17439,0,82571
721,721,17439,0,82571
722,722,17439,0,82571
723,723,17439,0,82571
724,724,17439,0,82571
725,725,17439,0,82571
726,726,17439,0,82571
727,727,17439,0,82571
728,728,17439,0,82571
729,729,17439,0,82571
730,730,17439,0,82571
731,731,17439,0,82571
732,732,17439,0,82571
733,733,17439,0,82571
734,734,17439,0,82571
735,735,17439,0,82571
736,736,17439,0,82571
737,737,17439,0,82571
738,738,17439,0,82571
739,739,17439,0,82571
740,740,17439,0,82571
741,741,17439,0,82571
742,742,17439,0,82571
743,743,17439,0,82571
744,744,17439,0,82571
745,745,17439,0,82571
746,746,17439,0,82571
747,747,17439,0,82571
748,748,17439,0,82571
749,749,17439,0,82571
750,750,17439,0,82571
751,751,17439,0,82571
752,752,17439,0,82571
753,753,17439,0,82571
754,754,17439,0,82571
755,755,17439,0,82571
756,756,17439,0,82571
757,757,17439,0,82571
758,758,17439,0,82571
759,759,17439,0,82571
760,760,17439,0,82571
761,761,17439,0,82571
762,762,17439,0,82571
763,763,17439,0,82571
764,764,17439,0,82571
765,765,17439,0,82571
766,766,17439,0,82571
767,767,17439,0,82571
768,768,17439,0,82571
769,769,17439,0,82571
770,770,17439,0,82571
771,771,17439,0,82571
772,772,17439,0,82571
773,773,17439,0,82571
774,774,17439,0,82571
775,775,17439,0,82571
776,776,17439,0,82571
777,777,17439,0,82571
778,778,17439,0,82571
779,779,17439,0,82571
780,780,17439,0,82571
